iter	Passed	Remaining
0	5	5362
1	11	5535
2	16	5519
3	23	5811
4	30	5975
5	43	7252
6	55	7807
7	59	7400
8	65	7205
9	75	7451
10	83	7527
11	95	7849
12	105	8000
13	114	8065
14	123	8122
15	131	8114
16	143	8281
17	153	8377
18	161	8342
19	171	8423
20	180	8417
21	191	8525
22	202	8609
23	211	8607
24	225	8808
25	235	8836
26	243	8775
27	253	8815
28	261	8763
29	272	8813
30	277	8679
31	285	8630
32	293	8587
33	301	8558
34	308	8504
35	320	8581
36	327	8532
37	335	8489
38	343	8463
39	352	8467
40	366	8570
41	374	8531
42	383	8537
43	392	8520
44	402	8533
45	409	8488
46	419	8511
47	428	8494
48	435	8460
49	446	8484
50	454	8453
51	465	8489
52	473	8457
53	482	8445
54	489	8415
55	499	8414
56	505	8366
57	515	8375
58	528	8423
59	553	8670
60	563	8672
61	574	8691
62	586	8721
63	595	8704
64	604	8691
65	614	8700
66	623	8679
67	633	8680
68	642	8667
69	650	8648
70	660	8637
71	668	8614
72	678	8621
73	687	8598
74	698	8612
75	710	8644
76	719	8625
77	729	8622
78	739	8621
79	748	8609
80	754	8565
81	765	8570
82	774	8562
83	781	8522
84	792	8526
85	800	8504
86	811	8516
87	817	8477
88	826	8455
89	833	8429
90	846	8458
91	856	8450
92	865	8437
93	874	8427
94	881	8399
95	891	8391
96	896	8345
97	905	8334
98	913	8312
99	923	8308
100	930	8280
101	939	8270
102	947	8248
103	955	8236
104	959	8182
105	965	8146
106	976	8150
107	982	8110
108	992	8112
109	1000	8097
110	1006	8062
111	1013	8033
112	1021	8017
113	1027	7983
114	1037	7985
115	1047	7980
116	1055	7968
117	1064	7953
118	1075	7963
119	1085	7957
120	1093	7946
121	1104	7948
122	1109	7912
123	1123	7933
124	1131	7919
125	1140	7908
126	1150	7906
127	1155	7871
128	1158	7820
129	1164	7792
130	1170	7761
131	1175	7731
132	1183	7715
133	1190	7696
134	1199	7684
135	1206	7667
136	1216	7663
137	1225	7652
138	1235	7651
139	1240	7622
140	1250	7616
141	1256	7593
142	1263	7569
143	1269	7548
144	1275	7518
145	1285	7517
146	1297	7526
147	1304	7511
148	1314	7505
149	1324	7505
150	1336	7514
151	1343	7497
152	1353	7494
153	1363	7491
154	1372	7482
155	1382	7479
156	1391	7473
157	1399	7460
158	1410	7461
159	1419	7453
160	1430	7452
161	1443	7466
162	1452	7457
163	1461	7451
164	1469	7436
165	1479	7431
166	1484	7405
167	1497	7414
168	1506	7409
169	1514	7394
170	1521	7375
171	1533	7380
172	1543	7380
173	1549	7354
174	1560	7356
175	1571	7359
176	1577	7334
177	1585	7324
178	1593	7309
179	1601	7294
180	1609	7280
181	1619	7280
182	1625	7256
183	1635	7252
184	1642	7234
185	1646	7207
186	1657	7207
187	1660	7171
188	1666	7149
189	1672	7129
190	1679	7113
191	1691	7116
192	1701	7115
193	1717	7135
194	1729	7138
195	1736	7123
196	1741	7099
197	1750	7088
198	1760	7087
199	1771	7084
200	1776	7060
201	1786	7059
202	1794	7046
203	1805	7043
204	1814	7037
205	1822	7025
206	1832	7021
207	1838	6999
208	1843	6977
209	1851	6963
210	1859	6951
211	1867	6941
212	1876	6933
213	1885	6925
214	1892	6908
215	1900	6899
216	1909	6888
217	1919	6884
218	1930	6885
219	1937	6870
220	1947	6866
221	1955	6854
222	1963	6840
223	1972	6833
224	1980	6822
225	1986	6804
226	1996	6797
227	2005	6789
228	2014	6782
229	2023	6774
230	2035	6775
231	2044	6768
232	2054	6761
233	2065	6759
234	2072	6746
235	2082	6740
236	2092	6736
237	2099	6721
238	2104	6700
239	2114	6695
240	2124	6691
241	2133	6681
242	2143	6677
243	2151	6666
244	2162	6663
245	2169	6649
246	2179	6642
247	2187	6631
248	2198	6629
249	2209	6627
250	2217	6617
251	2226	6608
252	2234	6598
253	2244	6592
254	2252	6581
255	2263	6577
256	2272	6569
257	2281	6561
258	2290	6554
259	2307	6566
260	2315	6556
261	2325	6550
262	2332	6535
263	2340	6526
264	2348	6514
265	2359	6510
266	2364	6491
267	2373	6483
268	2380	6469
269	2393	6472
270	2403	6465
271	2412	6456
272	2426	6461
273	2435	6454
274	2444	6443
275	2453	6434
276	2460	6422
277	2469	6414
278	2476	6400
279	2487	6397
280	2493	6380
281	2503	6374
282	2512	6366
283	2521	6358
284	2529	6344
285	2539	6338
286	2548	6331
287	2560	6331
288	2575	6335
289	2583	6325
290	2592	6317
291	2601	6308
292	2607	6290
293	2618	6287
294	2629	6284
295	2638	6275
296	2650	6274
297	2663	6274
298	2672	6266
299	2684	6264
300	2691	6250
301	2699	6239
302	2710	6234
303	2716	6219
304	2728	6218
305	2736	6207
306	2745	6197
307	2752	6183
308	2763	6179
309	2773	6174
310	2780	6158
311	2788	6147
312	2797	6140
313	2804	6126
314	2810	6112
315	2817	6099
316	2824	6085
317	2832	6075
318	2843	6071
319	2850	6057
320	2860	6051
321	2872	6048
322	2882	6041
323	2891	6033
324	2899	6021
325	2902	6001
326	2915	6000
327	2922	5988
328	2930	5976
329	2941	5972
330	2948	5958
331	2958	5952
332	2969	5947
333	2975	5933
334	2985	5925
335	2997	5923
336	3007	5917
337	3014	5903
338	3022	5892
339	3029	5881
340	3038	5871
341	3046	5860
342	3055	5853
343	3064	5842
344	3073	5834
345	3084	5830
346	3091	5817
347	3101	5811
348	3110	5802
349	3119	5793
350	3127	5782
351	3134	5770
352	3141	5758
353	3153	5754
354	3161	5744
355	3174	5743
356	3188	5743
357	3198	5736
358	3214	5739
359	3223	5729
360	3229	5716
361	3237	5705
362	3247	5699
363	3259	5695
364	3272	5693
365	3280	5682
366	3290	5675
367	3301	5669
368	3310	5661
369	3317	5649
370	3323	5634
371	3331	5624
372	3338	5611
373	3347	5602
374	3358	5597
375	3365	5586
376	3375	5577
377	3383	5568
378	3387	5550
379	3396	5541
380	3403	5529
381	3416	5527
382	3424	5517
383	3430	5503
